N: 10 	 Zaman: 00:00:00.0017019
N: 100 	 Zaman: 00:00:00.0000067
N: 1000 	 Zaman: 00:00:00.0000478
N: 10000 	 Zaman: 00:00:00.0004997
N: 100000 	 Zaman: 00:00:00.0048092
N: 1000000 	 Zaman: 00:00:00.0481475
N: 10000000 	 Zaman: 00:00:00.4691802
N: 100000000 	 Zaman: 00:00:04.4640959
N: 10 	 Zaman: 00:00:00.0001316
N: 100 	 Zaman: 00:00:00.0000049
N: 1000 	 Zaman: 00:00:00.0000395
N: 10000 	 Zaman: 00:00:00.0007442
N: 100000 	 Zaman: 00:00:00.0043729
N: 1000000 	 Zaman: 00:00:00.0419266
N: 10000000 	 Zaman: 00:00:00.4196951
N: 100000000 	 Zaman: 00:00:04.1000476
